step   ball_X    ball_Y    side
413     -547    -1539        f
414     -480    -1549        f
415     -480    -1549        r
416     -480    -1549        r
417     -480    -1549        r
418     -480    -1549        r
419     -480    -1549        r
420     -480    -1549        r
421     -419    -1560        f
422     -419    -1560        r
423     -419    -1560        r
424     -419    -1560        r
425     -419    -1560        r
426     -419    -1560        r
427     -419    -1560        r
428     -419    -1560        r
429     -419    -1560        r
430     -419    -1560        r
431     -359    -1569        f
432     -359    -1569        r
433     -359    -1569        r
434     -359    -1569        r
435     -359    -1569        r
436     -359    -1569        r
437     -359    -1569        r
438     -301    -1579        f
439     -246    -1588        f
440     -194    -1596        f
441     -144    -1604        f
442     -96    -1612        f
443     -51    -1619        f
444     -7    -1626        f
445     33    -1632        f
446     73    -1639        f
447     111    -1646        f
448     147    -1652        f
449     181    -1657        f
450     214    -1662        f
451     246    -1668        f
452     276    -1672        f
453     305    -1677        f
454     332    -1682        f
455     358    -1686        f
456     383    -1689        f
457     407    -1694        f
458     430    -1697        f
459     451    -1701        f
460     473    -1704        f
461     493    -1707        f
462     512    -1711        f
463     530    -1714        f
464     547    -1716        f
465     563    -1719        f
466     579    -1722        f
467     594    -1723        f
468     609    -1727        f
469     622    -1729        f
470     636    -1730        f
471     648    -1732        f
472     660    -1735        f
473     671    -1737        f
474     682    -1739        f
475     693    -1739        f
476     703    -1742        f
477     712    -1743        f
478     721    -1745        f
479     730    -1746        f
480     738    -1748        f
481     746    -1748        f
482     754    -1750        f
483     761    -1751        f
484     768    -1752        f
485     774    -1753        f
486     781    -1755        f
487     787    -1755        f
488     792    -1755        f
489     798    -1757        f
490     802    -1757        f
491     808    -1759        f
492     813    -1760        f
493     817    -1760        f
494     822    -1761        f
495     826    -1762        f
496     830    -1763        f
497     834    -1763        f
498     836    -1764        f
499     841    -1764        f
500     844    -1764        f
501     847    -1764        f
502     850    -1766        f
503     852    -1766        f
504     856    -1767        f
505     858    -1767        f
506     861    -1768        f
507     863    -1768        f
508     865    -1768        f
509     868    -1769        f
510     868    -1769        r
511     868    -1769        r
512     868    -1769        r
513     868    -1769        r
