step   ball_X    ball_Y    side
423     768    -114        f
424     768    -112        f
425     768    -111        f
426     768    -109        f
427     768    -107        f
428     768    -106        f
429     768    -104        f
430     768    -102        f
431     768    -101        f
432     768    -99        f
433     768    -98        f
434     768    -96        f
435     768    -95        f
436     768    -94        f
437     768    -93        f
438     768    -91        f
439     768    -90        f
440     768    -90        l
441     768    -90        l
442     768    -90        l
443     768    -90        l
444     768    -90        l
445     768    -90        l
446     768    -90        l
447     768    -90        l
448     768    -90        l
449     768    -90        l
450     768    -90        l
451     768    -90        l
452     768    -90        l
453     768    -90        l
454     768    -90        l
455     768    -90        l
456     768    -90        l
457     768    -90        l
458     768    -90        l
459     768    -90        l
460     768    -90        l
461     768    -90        f
462     880    -107        f
463     880    -107        r
464     880    -107        r
465     880    -107        r
466     880    -107        r
467     880    -107        r
468     880    -107        r
469     880    -107        r
470     880    -107        r
471     880    -107        r
472     880    -107        r
473     880    -107        r
474     880    -107        r
475     880    -107        r
476     880    -107        r
477     880    -107        r
478     880    -107        r
479     880    -107        r
480     880    -107        r
481     880    -107        r
482     880    -107        r
483     880    -107        r
484     880    -107        r
485     880    -107        r
486     880    -107        r
487     880    -107        r
488     880    -107        r
489     880    -107        r
490     880    -107        r
491     880    -107        r
492     880    -107        r
493     880    -107        r
494     880    -107        r
495     880    -107        r
496     880    -107        r
497     880    -107        r
498     880    -107        r
499     880    -107        r
500     880    -107        r
501     880    -107        f
502     809    -77        f
503     742    -48        f
504     678    -21        f
505     616    4        f
506     558    28        f
507     501    53        f
508     448    75        f
509     397    97        f
510     348    118        f
511     302    138        f
512     257    156        f
513     215    175        f
514     174    192        f
515     135    208        f
516     98    224        f
517     63    239        f
518     28    252        f
519     -2    267        f
520     -33    280        f
521     -62    292        f
522     -91    304        f
523     -117    316        f
524     -143    327        f
525     -168    337        f
526     -191    347        f
527     -213    356        f
528     -235    365        f
529     -254    374        f
530     -275    382        f
531     -293    390        f
532     -311    398        f
533     -328    405        f
534     -344    412        f
535     -360    418        f
536     -375    424        f
537     -389    430        f
538     -401    436        f
539     -415    442        f
540     -426    447        f
541     -438    451        f
542     -450    457        f
543     -461    461        f
544     -471    465        f
545     -480    469        f
546     -490    473        f
547     -499    476        f
548     -508    480        f
549     -516    484        f
550     -524    487        f
551     -531    491        f
552     -538    494        f
553     -545    496        f
554     -552    499        f
555     -558    501        f
556     -564    504        f
557     -569    507        f
558     -575    509        f
559     -580    511        f
560     -585    513        f
561     -589    515        f
562     -594    517        f
563     -598    519        f
564     -602    520        f
565     -606    522        f
566     -610    524        f
567     -613    525        f
568     -617    527        f
569     -620    528        f
570     -623    529        f
571     -626    531        f
572     -629    532        f
573     -631    533        f
574     -634    534        f
575     -636    535        f
576     -639    536        f
577     -641    537        f
578     -643    538        f
579     -645    539        f
580     -647    539        f
581     -649    540        f
582     -651    541        f
583     -653    542        f
584     -654    542        f
585     -656    543        f
586     -657    544        f
587     -659    544        f
588     -660    545        f
589     -661    545        f
590     -662    546        f
591     -664    546        f
592     -665    547        f
593     -666    547        f
594     -667    548        f
595     -668    548        f
596     -669    549        f
597     -670    549        f
598     -671    549        f
599     -671    550        f
600     -672    550        f
601     -673    550        f
602     -674    551        f
603     -674    551        f
604     -675    551        f
605     -675    551        f
606     -676    552        f
607     -677    552        f
608     -677    552        f
609     -678    552        f
610     -678    552        f
611     -679    553        f
612     -679    553        f
613     -680    553        f
614     -680    553        f
615     -680    553        f
616     -681    554        f
617     -681    554        f
618     -681    554        f
619     -682    554        f
620     -682    554        f
621     -682    554        f
622     -683    554        f
623     -683    554        f
624     -683    555        f
625     -683    555        f
626     -684    555        f
627     -684    555        f
628     -684    555        f
629     -684    555        f
630     -684    555        f
631     -685    555        f
632     -685    555        f
633     -685    555        f
634     -685    555        f
635     -685    555        f
636     -685    556        f
637     -686    556        f
638     -686    556        f
639     -686    556        f
640     -686    556        f
641     -686    556        f
642     -686    556        f
643     -686    556        f
644     -686    556        f
645     -686    556        f
646     -687    556        f
647     -687    556        f
648     -687    556        f
649     -687    556        f
650     -687    556        f
651     -687    556        f
652     -687    556        f
653     -687    556        f
654     -687    556        f
655     -687    556        f
656     -687    556        f
657     -687    556        f
658     -687    556        f
659     -687    556        f
660     -687    556        f
661     -688    556        f
662     -688    556        f
663     -688    556        f
664     -688    556        f
665     -688    556        f
666     -688    557        f
667     -688    557        f
668     -688    557        f
669     -688    557        f
670     -688    557        f
671     -688    557        f
672     -688    557        f
673     -688    557        f
674     -688    557        f
675     -688    557        f
676     -688    557        f
677     -688    557        f
678     -688    557        f
679     -688    557        f
680     -688    557        f
681     -688    557        f
682     -688    557        f
683     -688    557        f
684     -688    557        f
685     -688    557        f
686     -688    557        f
687     -688    557        f
688     -688    557        r
689     -688    557        r
690     -688    557        r
691     -688    557        r
692     -688    557        r
693     -688    557        r
694     -688    557        r
695     -688    557        r
696     -688    557        r
697     -688    557        r
698     -688    557        r
699     -688    557        r
700     -688    557        r
701     -688    557        r
702     -688    557        r
703     -688    557        r
704     -688    557        r
705     -688    557        r
706     -688    557        f
707     -688    557        f
708     -688    557        f
709     -688    557        f
710     -688    557        f
711     -688    557        f
712     -688    557        f
713     -688    557        f
714     -688    557        f
715     -688    557        f
716     -688    557        f
717     -688    557        f
718     -688    557        f
719     -688    557        f
720     -688    557        f
721     -688    557        f
722     -688    557        f
723     -688    557        f
724     -688    557        f
725     -688    557        f
726     -688    557        f
727     -688    557        f
728     -688    557        f
729     -688    557        f
730     -688    557        f
731     -688    557        f
732     -688    557        f
733     -688    557        f
734     -688    557        f
735     -688    557        f
736     -688    557        f
737     -688    557        f
738     -688    557        f
739     -688    557        f
740     -688    557        f
741     -688    557        f
742     -688    557        f
743     -688    557        f
