step   ball_X    ball_Y    side
679     -1412    799        f
680     -1415    801        f
681     -1418    802        f
682     -1420    803        f
683     -1423    806        f
684     -1425    807        f
685     -1428    809        f
686     -1430    810        f
687     -1432    811        f
688     -1434    811        f
689     -1436    814        f
690     -1438    815        f
691     -1440    816        f
692     -1442    817        f
693     -1444    818        f
694     -1445    819        f
695     -1447    819        f
696     -1448    819        f
697     -1449    821        f
698     -1451    822        f
699     -1452    823        f
700     -1453    823        f
701     -1454    824        f
702     -1456    825        f
703     -1457    825        f
704     -1458    826        f
705     -1459    826        f
706     -1459    827        f
707     -1460    827        f
708     -1461    827        f
709     -1462    827        f
710     -1463    828        f
711     -1463    828        f
712     -1464    828        f
713     -1465    830        f
714     -1465    830        f
715     -1466    831        f
716     -1467    831        f
717     -1467    831        f
718     -1468    832        f
719     -1468    832        f
720     -1469    832        f
721     -1469    832        f
722     -1470    833        f
723     -1470    833        f
724     -1470    833        f
725     -1471    833        f
726     -1471    833        f
727     -1471    834        f
728     -1472    834        f
729     -1472    834        f
730     -1472    834        f
731     -1473    834        f
732     -1473    835        f
733     -1473    835        f
734     -1473    835        f
735     -1474    835        f
736     -1474    835        f
737     -1474    835        f
738     -1474    835        f
739     -1475    835        f
740     -1475    836        f
741     -1475    836        f
742     -1475    836        f
743     -1475    836        f
744     -1475    836        f
745     -1475    836        r
746     -1475    836        r
747     -1475    836        r
748     -1475    836        r
749     -1475    836        r
750     -1475    836        r
751     -1475    836        r
752     -1475    836        r
753     -1475    836        r
754     -1475    836        r
755     -1475    836        r
756     -1475    836        r
757     -1475    836        r
758     -1475    836        r
759     -1475    836        r
760     -1475    836        r
761     -1475    836        r
762     -1475    836        r
763     -1475    836        r
764     -1476    836        f
765     -1476    836        f
766     -1476    836        f
767     -1476    836        f
768     -1476    836        f
769     -1476    836        f
770     -1476    836        f
771     -1477    836        f
772     -1477    836        f
773     -1477    836        f
774     -1477    836        f
775     -1477    836        f
776     -1477    836        f
777     -1477    836        f
778     -1477    836        f
779     -1477    836        f
780     -1477    836        f
781     -1477    836        f
782     -1477    836        f
783     -1477    836        f
784     -1478    836        f
785     -1478    836        f
786     -1478    836        f
787     -1478    836        f
788     -1478    836        f
789     -1478    836        f
790     -1478    836        f
791     -1478    836        f
792     -1478    836        f
793     -1478    836        f
794     -1478    836        f
795     -1478    836        f
796     -1478    836        f
797     -1478    838        f
798     -1478    838        f
799     -1478    838        f
800     -1478    838        f
801     -1478    838        f
802     -1478    838        f
803     -1478    838        f
804     -1478    838        f
805     -1478    838        f
806     -1478    838        f
807     -1478    838        f
808     -1478    838        f
809     -1478    838        f
810     -1478    838        f
811     -1478    838        f
812     -1478    838        f
813     -1478    838        f
814     -1479    838        f
815     -1479    838        f
816     -1479    838        f
817     -1479    838        f
818     -1479    838        f
819     -1479    838        f
820     -1479    838        f
821     -1479    838        f
822     -1479    838        f
823     -1479    838        f
824     -1479    838        f
825     -1479    838        f
826     -1479    838        f
827     -1479    838        f
828     -1479    838        f
829     -1479    838        f
830     -1479    838        f
831     -1479    838        f
832     -1479    838        f
833     -1479    838        f
834     -1479    838        f
835     -1479    838        f
836     -1479    838        f
837     -1479    838        f
838     -1479    838        f
839     -1479    838        f
840     -1479    838        f
841     -1479    838        f
842     -1479    838        f
843     -1479    838        f
844     -1479    838        f
845     -1479    838        f
846     -1479    838        f
847     -1479    838        f
848     -1479    838        f
849     -1479    838        f
850     -1479    838        f
851     -1479    838        f
852     -1479    838        f
853     -1479    838        f
854     -1479    838        f
855     -1479    838        f
856     -1479    838        f
857     -1479    838        f
858     -1479    838        f
859     -1479    838        f
860     -1479    838        f
861     -1479    838        f
862     -1479    838        f
863     -1479    838        f
864     -1479    838        f
865     -1479    838        f
866     -1479    838        f
867     -1479    838        f
868     -1479    838        f
869     -1479    838        f
870     -1479    838        f
871     -1479    838        f
872     -1479    838        f
873     -1479    838        f
874     -1479    838        f
875     -1479    838        f
876     -1479    838        f
877     -1479    838        f
878     -1479    838        f
879     -1479    838        f
880     -1479    838        f
881     -1479    838        f
882     -1479    838        f
883     -1479    838        f
884     -1479    838        f
885     -1479    838        f
886     -1479    838        f
887     -1479    838        f
888     -1479    838        f
889     -1479    838        f
890     -1479    838        f
891     -1479    838        f
892     -1479    838        f
893     -1479    838        f
894     -1479    838        f
895     -1479    838        f
896     -1479    838        f
897     -1479    838        f
898     -1479    838        f
899     -1479    838        f
900     -1479    838        f
901     -1479    838        f
902     -1479    838        f
903     -1479    838        f
904     -1479    838        l
905     -1479    838        l
906     -1479    838        l
907     -1479    838        l
908     -1479    838        l
909     -1479    838        l
910     -1479    838        l
911     -1479    838        l
912     -1479    838        l
913     -1479    838        l
914     -1479    838        l
915     -1479    838        l
916     -1479    838        l
917     -1479    838        l
918     -1479    838        l
919     -1479    838        l
920     -1479    838        l
921     -1479    838        f
922     -1479    838        f
923     -1479    838        f
924     -1479    838        f
925     -1479    838        f
926     -1479    838        f
927     -1479    838        f
928     -1479    838        f
929     -1479    838        f
930     -1479    838        f
931     -1479    838        f
932     -1479    838        f
933     -1479    838        f
934     -1479    838        f
935     -1479    838        f
936     -1479    838        f
937     -1479    838        f
938     -1479    838        f
939     -1479    838        f
940     -1479    838        f
941     -1479    838        f
942     -1479    838        f
943     -1479    838        f
944     -1479    838        f
945     -1479    838        f
946     -1479    838        f
947     -1479    838        f
948     -1479    838        f
949     -1479    838        f
950     -1479    838        f
951     -1479    838        f
952     -1479    838        f
953     -1479    838        f
954     -1479    838        f
955     -1479    838        f
956     -1479    838        f
957     -1479    838        f
958     -1479    838        f
959     -1479    838        r
960     -1479    838        r
961     -1479    838        r
962     -1479    838        r
963     -1479    838        r
964     -1479    838        r
965     -1479    838        f
966     -1544    756        f
967     -1605    677        f
968     -1664    602        f
969     -1722    530        f
970     -1776    461        f
971     -1828    396        f
972     -1877    334        f
973     -1923    274        f
974     -1969    217        f
975     -2012    163        f
976     -2054    111        f
977     -2054    111        r
978     -2054    111        r
979     -2054    111        r
980     -2054    111        r
981     -2054    111        r
982     -2054    111        r
983     -2054    111        r
984     -2054    111        r
985     -2054    111        r
986     -2054    111        r
987     -2054    111        r
988     -2054    111        r
989     -2054    111        r
990     -2054    111        r
991     -2054    111        r
992     -2054    111        r
993     -2054    111        r
994     -2054    111        r
995     -2054    111        r
996     -2054    111        r
997     -2054    111        r
998     -2054    111        r
999     -2054    111        r
1000     -2054    111        r
1001     -2054    111        r
1002     -2054    111        r
1003     -2093    61        f
1004     -2130    14        f
1005     -2166    -30        f
1006     -2200    -74        f
1007     -2233    -114        f
1008     -2264    -155        f
1009     -2294    -192        f
1010     -2323    -227        f
1011     -2350    -263        f
1012     -2376    -295        f
1013     -2401    -327        f
1014     -2424    -357        f
1015     -2447    -385        f
1016     -2468    -413        f
1017     -2489    -438        f
1018     -2509    -463        f
1019     -2527    -487        f
1020     -2545    -509        f
1021     -2563    -532        f
1022     -2579    -552        f
1023     -2595    -572        f
1024     -2609    -591        f
1025     -2624    -609        f
1026     -2637    -626        f
1027     -2650    -642        f
1028     -2663    -658        f
1029     -2675    -673        f
1030     -2686    -687        f
1031     -2697    -701        f
1032     -2707    -714        f
1033     -2717    -726        f
1034     -2726    -738        f
1035     -2735    -750        f
1036     -2744    -761        f
1037     -2752    -771        f
1038     -2760    -781        f
1039     -2767    -790        f
1040     -2774    -799        f
1041     -2781    -808        f
1042     -2788    -816        f
1043     -2794    -824        f
1044     -2800    -832        f
1045     -2805    -839        f
1046     -2811    -846        f
1047     -2816    -852        f
1048     -2821    -858        f
1049     -2826    -864        f
1050     -2830    -869        f
1051     -2834    -876        f
1052     -2838    -881        f
1053     -2842    -886        f
1054     -2846    -890        f
1055     -2850    -894        f
1056     -2853    -899        f
1057     -2856    -902        f
1058     -2859    -907        f
1059     -2862    -911        f
1060     -2865    -915        f
1061     -2868    -918        f
1062     -2870    -921        f
1063     -2873    -925        f
1064     -2875    -927        f
1065     -2878    -930        f
1066     -2880    -933        f
1067     -2882    -936        f
1068     -2884    -938        f
1069     -2886    -941        f
1070     -2887    -943        f
1071     -2889    -944        f
1072     -2891    -947        f
1073     -2892    -949        f
1074     -2894    -951        f
1075     -2895    -952        f
1076     -2896    -955        f
