step   ball_X    ball_Y    side
2     0    0        f
3     0    0        f
4     0    0        f
5     0    0        f
6     0    0        f
7     0    0        f
8     0    0        f
9     0    0        f
10     0    0        f
11     0    0        f
12     0    0        f
13     0    0        f
14     0    0        f
15     0    0        f
16     0    0        f
17     0    0        f
18     0    0        f
19     0    0        f
20     0    0        f
21     0    0        f
22     0    0        f
23     0    0        f
24     0    0        f
25     0    0        f
26     0    0        f
27     0    0        f
28     0    0        f
29     0    0        f
30     0    0        f
31     0    0        f
32     0    0        f
33     0    0        f
34     0    0        f
35     0    0        f
36     0    0        f
37     0    0        f
38     0    0        f
39     0    0        f
40     0    0        f
41     0    0        f
42     0    0        f
43     0    0        f
44     0    0        f
45     0    0        f
46     0    0        f
47     0    0        f
48     0    0        f
49     0    0        f
50     0    0        f
51     0    0        f
52     0    0        f
53     0    0        f
54     0    0        f
55     0    0        f
56     0    0        f
57     0    0        f
58     0    0        f
59     0    0        f
60     0    0        f
61     0    0        f
62     0    0        f
63     0    0        f
64     0    0        f
65     0    0        f
66     0    0        f
67     0    0        f
68     0    0        f
69     0    0        f
70     0    0        f
71     0    0        f
72     0    0        f
73     0    0        f
74     0    0        f
75     0    0        f
76     0    0        f
77     0    0        f
78     0    0        f
79     0    0        f
80     0    0        f
81     0    0        f
82     0    0        f
83     0    0        f
84     0    0        f
85     0    0        f
86     0    0        f
87     0    0        f
88     0    0        f
89     0    0        f
90     0    0        f
91     0    0        f
92     0    0        f
93     0    0        f
94     0    0        f
95     0    0        f
96     0    0        f
97     0    0        f
98     0    0        f
99     0    0        f
100     0    0        f
101     0    0        f
102     0    0        f
103     0    0        f
104     0    0        f
105     0    0        l
106     0    0        l
107     0    0        l
108     0    0        l
109     0    0        l
110     0    0        l
111     0    0        f
112     74    16        f
113     145    32        f
114     214    47        f
115     279    62        f
116     341    76        f
117     400    89        f
118     457    102        f
119     511    113        f
120     562    125        f
121     612    136        f
122     659    147        f
123     704    157        f
124     747    166        f
125     788    176        f
126     827    184        f
127     864    193        f
128     900    200        f
129     934    208        f
130     967    216        f
131     998    222        f
132     1028    229        f
133     1056    235        f
134     1083    241        f
135     1109    247        f
136     1134    252        f
137     1158    258        f
138     1180    263        f
139     1202    268        f
140     1222    272        f
141     1242    277        f
142     1261    281        f
143     1279    285        f
144     1296    289        f
145     1312    292        f
146     1328    296        f
147     1342    299        f
148     1357    302        f
149     1370    305        f
150     1383    308        f
151     1396    311        f
152     1407    313        f
153     1419    316        f
154     1430    318        f
155     1440    321        f
156     1450    323        f
157     1450    323        r
158     1450    323        r
159     1450    323        f
160     1335    282        f
161     1226    243        f
162     1122    206        f
163     1022    171        f
164     927    137        f
165     836    104        f
166     749    74        f
167     666    44        f
168     587    16        f
169     512    -10        f
170     440    -36        f
171     371    -60        f
172     305    -84        f
173     242    -106        f
174     182    -127        f
175     125    -148        f
176     70    -167        f
177     17    -186        f
178     -32    -204        f
179     -79    -221        f
180     -125    -237        f
181     -168    -252        f
182     -210    -267        f
183     -249    -281        f
184     -287    -295        f
185     -323    -308        f
186     -358    -320        f
187     -391    -332        f
188     -422    -343        f
189     -453    -354        f
190     -480    -364        f
191     -509    -374        f
192     -535    -383        f
193     -560    -392        f
194     -584    -400        f
195     -607    -409        f
196     -629    -416        f
197     -649    -424        f
198     -669    -430        f
199     -688    -438        f
200     -707    -444        f
201     -724    -450        f
202     -740    -455        f
203     -756    -462        f
204     -771    -467        f
205     -786    -472        f
206     -800    -476        f
207     -813    -482        f
208     -825    -486        f
